# Customers Currently,# Customers in Pipeline,Account Manager Name,Active Customer (PY),Before Selected Year,Before Selected Year-1,CHS Rename,CHS Tooltip,Close Date,Closed?,Colour - Customer Health Score Pipeline,Conversion or Lost? (Hist),Current Year?,Customer Health Score,Customer Name,DS Filter - Exclude,dummy,ID,Likely Churn?,Number of Customers - SY,Opp Type Tooltip,Opportunity Description,Opportunity Description2,Opportunity Name,Opportunity Number,Opportunity Stage Name,Opportunity Type,Opps Param Label,Opps Text,Pipeline Value Label,Pipeline Value Text,Portfolio Status,Prior Year Param,Right_Opportunity Description,Selected Account Manager,Selected Metric [Opps],Selected Metric [Opps] (copy),Selected Stage,Selected Year,Selected Year dot,Stage,Stage Name,Stage ▶,Table Filter,Title - Renewals or Pipeline,Year,Year of Close,ARR,Colour,Conversion Rate (%),Deal Size - Avg for SY,Deal Size - Colour,Deal Size - CY vs PY,Deal Size - PY,Expected Churn,In Pipeline,New Customers - CY vs PY,Number of Line Items,Number to Show,Opportunity/Opps,Pipeline - CY vs PY,Pipeline - CY vs PY %,Pipeline - Last Year,Pipeline Value (£),Pipeline Value - Colour,Pipeline Value - CY,Selected Metric,Selected Metric - ARR,Selected Metric - Opps,Upsell > Target,Upsell Target,Upsell vs Target,Upsells - CY,Upsells - PY,Value,Value (copy),Variance to Target - Conversion Rate
,,Jane Smith,Schmitt Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,05/02/2017,Historic,,Conversion,False,,Schmitt Inc,,dummy,1596,Expected Churn,Schmitt Inc,Sale of additional services on top of an existing contract,License + LT Consulting opp,Support plan + licenses,Opportunity 1596,1596,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + hosting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2017,2017,,False,0,,,,,,0,0,5,20,Opportunity,,,,,,,46621.142676245,46621.142676245,,,,,,,46621.142676245,46621.142676245,-50.0%
,,Robert Harris,Wuckert Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,12/12/2019,Historic,,Lost,False,,Wuckert Inc,,dummy,1505,Expected Churn,Wuckert Inc,New Business,License + LT Consulting opp,License + hosting opp,Opportunity 1505,1505,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + hosting opp,True,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,6,20,Opportunity,,,,,,,161768.396066123,161768.396066123,,,,,,,161768.396066123,161768.396066123,-50.0%
Grady-Boyer,,David Wilson,Grady-Boyer,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,27/11/2021,Historic,,Conversion,False,,Grady-Boyer,,dummy,1235,Healthy,Grady-Boyer,An existing contract is due to expire unless renewed,License + ST Consulting opp,License opp,Opportunity 1235,1235,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Short term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2021,2021,93894.703708099,False,1,,,,,,0,0,10,20,Opportunity,,,,,,,93894.703708099,93894.703708099,,,,,,,93894.703708099,93894.703708099,+50.0%
Will Inc,,Michael Johnson,Will Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,13/09/2020,Historic,,Lost,False,,Will Inc,,dummy,193,Healthy,Will Inc,New Business,Consulting opp (Long term),License opp,Opportunity 193,193,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2020,2020,52607.423139878,False,1,,,,,,0,0,4,20,Opportunity,,,,,,,52607.423139878,52607.423139878,,,,,,,52607.423139878,52607.423139878,+50.0%
Denesik-Howe,,Michael Johnson,Denesik-Howe,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,21/06/2015,Historic,,Lost,False,,Denesik-Howe,,dummy,1801,Healthy,Denesik-Howe,New Business,License + hosting opp,License opp,Opportunity 1801,1801,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2015,2015,26593.068757190,False,1,,,,,,0,0,5,20,Opportunity,,,,,,,26593.068757190,26593.068757190,,,,,,,26593.068757190,26593.068757190,+50.0%
Koch LLC,,Jane Smith,Koch LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,26/02/2015,Historic,,Conversion,False,,Koch LLC,,dummy,212,Healthy,Koch LLC,Sale of additional services on top of an existing contract,Consulting opp (Short term),Consulting opp (Infrastructure),Opportunity 212,212,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + LT Consulting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2015,2015,33856.432112832,False,1,,,,,,0,0,8,20,Opportunity,,,,,,,33856.432112832,33856.432112832,,,,,,,33856.432112832,33856.432112832,+50.0%
Larkin LLC,,Emily Brown,Larkin LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,08/11/2019,Historic,,Conversion,False,,Larkin LLC,,dummy,757,Healthy,Larkin LLC,An existing contract is due to expire unless renewed,License opp,Consulting opp (Short term),Opportunity 757,757,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + LT Consulting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2019,2019,108054.40209295,False,1,,,,,,0,0,6,20,Opportunity,,,,,,,108054.40209295,108054.40209295,,,,,,,108054.40209295,108054.40209295,+50.0%
Lowe-Boyle,,Sarah Taylor,Lowe-Boyle,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,30/01/2015,Historic,,Conversion,False,,Lowe-Boyle,,dummy,800,Healthy,Lowe-Boyle,Sale of additional services on top of an existing contract,Consulting opp (Infrastructure),Support plan + licenses,Opportunity 800,800,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Short term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2015,2015,77260.226820889,False,1,,,,,,0,0,9,20,Opportunity,,,,,,,77260.226820889,77260.226820889,,,,,,,77260.226820889,77260.226820889,+50.0%
Lang LLC,,Samantha Lee,Lang LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,19/06/2019,Historic,,Conversion,False,,Lang LLC,,dummy,153,Healthy,Lang LLC,An existing contract is due to expire unless renewed,Consulting opp (Infrastructure),License + ST Consulting opp,Opportunity 153,153,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2019,2019,95955.411837426,False,1,,,,,,0,0,3,20,Opportunity,,,,,,,95955.411837426,95955.411837426,,,,,,,95955.411837426,95955.411837426,+50.0%
,Rogahn LLC,Daniel Martinez,,False,False,Neutral,There are not enough factors to provide an opportunity health score,15/07/2025,Pending,,Conversion,False,Amber,Rogahn LLC,,dummy,994,Healthy,,New Business,License + LT Consulting opp,License opp,Opportunity 994,994,Prospecting,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,1,Prospecting,1,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,3,20,Opportunity,,,,17505.594843424,,,17505.594843424,17505.594843424,,,,,,,17505.594843424,17505.594843424,-50.0%
,,Amanda Anderson,Tillman Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,19/12/2022,Historic,,Conversion,False,,Tillman Inc,,dummy,1632,Expected Churn,Tillman Inc,Sale of additional services on top of an existing contract,Consulting opp (Infrastructure),Consulting opp (Infrastructure),Opportunity 1632,1632,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,True,Consulting opp (Long term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2022,2022,,False,0,,,,20797.967440635,,0,0,5,20,Opportunity,,,,,,,20797.967440635,20797.967440635,,,,,,20797.967440635,20797.967440635,20797.967440635,-50.0%
,,Michael Johnson,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,20/12/2023,Historic,,Conversion,False,,Gottlieb LLC,,dummy,1921,Expected Churn,Gottlieb LLC,An existing contract is due to expire unless renewed,License + LT Consulting opp,License + ST Consulting opp,Opportunity 1921,1921,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + hosting opp,False,False,True,False,True,●,Closed Lost,,Closed Lost,True,Upcoming Renewals,2023,2023,,True,0,89924.670543970,,,,,0,1,4,20,Opportunity,,,,,,,89924.670543970,89924.670543970,,,22481.167635992,,,,89924.670543970,89924.670543970,-50.0%
Beer-Bayer,,Jane Smith,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,17/11/2023,Historic,,Conversion,False,,Beer-Bayer,,dummy,592,Healthy,Beer-Bayer,Sale of additional services on top of an existing contract,Consulting opp (Infrastructure),License opp,Opportunity 592,592,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Infrastructure),False,False,True,False,True,●,Closed Won,,Closed Won,True,Upcoming Renewals,2023,2023,55915.623022224,True,1,55915.623022224,,,,,0,1,8,20,Opportunity,,,,,,55915.623022224,55915.623022224,55915.623022224,,True,13978.905755556,3,55915.623022224,,55915.623022224,55915.623022224,+50.0%
Beatty-Bode,,Emily Brown,Beatty-Bode,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,09/02/2019,Historic,,Conversion,False,,Beatty-Bode,,dummy,1718,Healthy,Beatty-Bode,Sale of additional services on top of an existing contract,License opp,Support plan + licenses,Opportunity 1718,1718,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + ST Consulting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2019,2019,13431.488832792,False,1,,,,,,0,0,8,20,Opportunity,,,,,,,13431.488832792,13431.488832792,,,,,,,13431.488832792,13431.488832792,+50.0%
Conn LLC,,James Jackson,Conn LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,20/10/2015,Historic,,Conversion,False,,Conn LLC,,dummy,244,Healthy,Conn LLC,An existing contract is due to expire unless renewed,License opp,Consulting opp (Long term),Opportunity 244,244,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2015,2015,16100.995141955,False,1,,,,,,0,0,7,20,Opportunity,,,,,,,16100.995141955,16100.995141955,,,,,,,16100.995141955,16100.995141955,+50.0%
,Cole Group,Emily Brown,,False,False,Confident,The opportunity has a high chance of being successful,21/10/2025,Pending,Green,Conversion,False,Green,Cole Group,,dummy,937,Healthy,,New Business,License + LT Consulting opp,License + hosting opp,Opportunity 937,937,Requirement Scoping,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,3,Needs Analysis,3,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,2,20,Opportunity,,,,83656.606379402,,,83656.606379402,83656.606379402,,,,,,,83656.606379402,83656.606379402,-50.0%
,,Ryan Thomas,Lowe Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,21/09/2019,Historic,,Lost,False,,Lowe Inc,,dummy,77,Expected Churn,Lowe Inc,New Business,License opp,License + LT Consulting opp,Opportunity 77,77,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + hosting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,9,20,Opportunity,,,,,,,31198.331585899,31198.331585899,,,,,,,31198.331585899,31198.331585899,-50.0%
,Zulauf-West,Emily Brown,,False,False,Confident,The opportunity has a high chance of being successful,25/04/2024,Pending,Green,Conversion,False,Green,Zulauf-West,,dummy,1322,Healthy,,Sale of additional services on top of an existing contract,License + hosting opp,License + ST Consulting opp,Opportunity 1322,1322,Implementation,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License opp,False,False,True,False,False,,7,Decision Pending,7,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,5,20,Opportunity,,,,150490.132219751,,,150490.132219751,150490.132219751,,,,,,,150490.132219751,150490.132219751,-50.0%
Mayer Group,,John Doe,Mayer Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,16/08/2018,Historic,,Conversion,False,,Mayer Group,,dummy,1062,Healthy,Mayer Group,An existing contract is due to expire unless renewed,License + LT Consulting opp,Support plan + licenses,Opportunity 1062,1062,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + hosting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2018,2018,74316.751392166,False,1,,,,,,0,0,7,20,Opportunity,,,,,,,74316.751392166,74316.751392166,,,,,,,74316.751392166,74316.751392166,+50.0%
,,James Jackson,Haag-Brekke,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,07/11/2022,Historic,,Lost,False,,Haag-Brekke,,dummy,1048,Expected Churn,Haag-Brekke,New Business,License + hosting opp,Consulting opp (Short term),Opportunity 1048,1048,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,True,Consulting opp (Short term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2022,2022,,False,0,,,,109057.325788088,,0,0,3,20,Opportunity,,,,,,,109057.325788088,109057.325788088,,,,,,,109057.325788088,109057.325788088,-50.0%
Schoen-Auer,,David Wilson,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,19/02/2024,Historic,,Conversion,False,,Schoen-Auer,Hide,dummy,1254,Healthy,,An existing contract is due to expire unless renewed,License + hosting opp,Consulting opp (Short term),Opportunity 1254,1254,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Infrastructure),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2024,2024,98280.842334097,False,1,,,,,,0,0,7,20,Opportunity,,,,,,,98280.842334097,98280.842334097,,,,,,,98280.842334097,98280.842334097,+50.0%
,Corkery-Ward,Michael Johnson,,False,False,Confident,The opportunity has a high chance of being successful,19/03/2025,Pending,Green,Conversion,False,Green,Corkery-Ward,,dummy,1990,Healthy,,An existing contract is due to expire unless renewed,License + ST Consulting opp,Consulting opp (Short term),Opportunity 1990,1990,Contracts,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,6,Closing,6,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,3,20,Opportunity,,,,78436.786904567,,,78436.786904567,78436.786904567,,,,,,,78436.786904567,78436.786904567,-50.0%
Raynor LLC,,Samantha Lee,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,22/02/2023,Historic,,Lost,False,,Raynor LLC,,dummy,661,Healthy,Raynor LLC,New Business,Support plan + licenses,License opp,Opportunity 661,661,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + hosting opp,False,False,True,False,True,●,Closed Won,,Closed Won,True,Upcoming Renewals,2023,2023,113171.084535581,True,1,113171.084535581,,,,,0,1,5,20,Opportunity,,,,,,113171.084535581,113171.084535581,113171.084535581,,,28292.771133895,,,,113171.084535581,113171.084535581,+50.0%
Beier-Stark,,Samantha Lee,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,11/07/2023,Historic,,Conversion,False,,Beier-Stark,,dummy,1682,Healthy,Beier-Stark,An existing contract is due to expire unless renewed,License + LT Consulting opp,License + ST Consulting opp,Opportunity 1682,1682,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Support plan + licenses,False,False,True,False,True,●,Closed Won,,Closed Won,True,Upcoming Renewals,2023,2023,136057.425152058,True,1,136057.425152058,,,,,0,1,9,20,Opportunity,,,,,,136057.425152058,136057.425152058,136057.425152058,,,34014.356288014,,,,136057.425152058,136057.425152058,+50.0%
,Barrows Inc,Sarah Taylor,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,21/05/2026,Pending,,Conversion,True,Red,Barrows Inc,,dummy,1672,Expected Churn,,An existing contract is due to expire unless renewed,Consulting opp (Short term),License + LT Consulting opp,Opportunity 1672,1672,Requirement Scoping,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License + hosting opp,False,False,True,False,False,,3,Needs Analysis,3,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,10,20,Opportunity,,,,21491.005081099,,,21491.005081099,21491.005081099,,,,,,,21491.005081099,21491.005081099,-50.0%
,Cassin Inc,James Jackson,,False,False,Confident,The opportunity has a high chance of being successful,17/10/2026,Pending,Green,Conversion,True,Green,Cassin Inc,,dummy,1014,Healthy,,Sale of additional services on top of an existing contract,Support plan + licenses,Consulting opp (Short term),Opportunity 1014,1014,Contracts,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,6,Closing,6,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,9,20,Opportunity,,,,18422.322817711,,,18422.322817711,18422.322817711,,,,,,,18422.322817711,18422.322817711,-50.0%
,,Jane Smith,Stanton Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,30/09/2018,Historic,,Lost,False,,Stanton Inc,,dummy,1171,Expected Churn,Stanton Inc,New Business,Support plan + licenses,License opp,Opportunity 1171,1171,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Support plan + licenses,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2018,2018,,False,0,,,,,,0,0,10,20,Opportunity,,,,,,,91342.130278084,91342.130278084,,,,,,,91342.130278084,91342.130278084,-50.0%
Koch LLC,,David Wilson,Koch LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,03/06/2019,Historic,,Conversion,False,,Koch LLC,,dummy,208,Healthy,Koch LLC,Sale of additional services on top of an existing contract,License opp,License + hosting opp,Opportunity 208,208,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License + LT Consulting opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2019,2019,17174.072351114,False,1,,,,,,0,0,10,20,Opportunity,,,,,,,17174.072351114,17174.072351114,,,,,,,17174.072351114,17174.072351114,+50.0%
,Smith Inc,Jane Smith,,False,False,Neutral,There are not enough factors to provide an opportunity health score,21/11/2026,Pending,,Conversion,True,Amber,Smith Inc,,dummy,443,Healthy,,New Business,Consulting opp (Short term),Support plan + licenses,Opportunity 443,443,Prospecting,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Short term),False,False,True,False,False,,1,Prospecting,1,True,Upcoming Renewals,2026,2026,,False,0,,,,,,0,0,4,20,Opportunity,,,,104296.437698485,,,104296.437698485,104296.437698485,,,,,,,104296.437698485,104296.437698485,-50.0%
